1.01	22500	450
1.02	22500	450
1.03	22500	450
1.04	22500	450
1.05	22500	450
1.06	22500	450
1.07	22500	450
1.08	22500	450
1.09	22500	450
1.1	22500	450
1.11	22500	450
1.12	22500	450
1.13	22500	450
1.14	22500	450
1.15	22500	450
1.16	22500	450
1.17	22500	450
1.18	22500	450
1.19	22500	450
1.2	22500	450
1.21	22500	450
1.22	22500	450
1.23	22500	450
1.24	22500	450
1.25	22500	450
1.26	22500	450
1.27	22500	450
1.28	22500	450
1.29	22500	450.0000001
1.3	22500.00004	450.0000007
1.31	22500.00027	450.0000055
1.32	22500.00192	450.0000383
1.33	22500.01199	450.0002397
1.34	22500.06708	450.0013416
1.35	22500.33596	450.0067192
1.36	22501.50567	450.0301134
1.37	22506.03833	450.1207665
1.38	22521.66948	450.4333896
1.39	22569.58656	451.3917313
1.4	22699.96194	453.9992388
1.41	23014.17901	460.2835803
1.42	23683.11352	473.6622703
1.43	24936.0351	498.720702
1.44	26988.33976	539.7667952
1.45	29900.02123	598.0004246
1.46	33417.55187	668.3510375
1.47	36913.27325	738.2654651
1.48	39527.27044	790.5454088
1.49	40500	810
1.5	39527.27044	790.5454088
1.51	36913.27325	738.2654651
1.52	33417.55187	668.3510375
1.53	29900.02123	598.0004246
1.54	26988.33976	539.7667952
1.55	24936.0351	498.720702
1.56	23683.11352	473.6622703
1.57	23014.17901	460.2835803
1.58	22699.96194	453.9992388
1.59	22569.58656	451.3917313
1.6	22521.66948	450.4333896
1.61	22506.03833	450.1207665
1.62	22501.50567	450.0301134
1.63	22500.33596	450.0067192
1.64	22500.06708	450.0013416
1.65	22500.01199	450.0002397
1.66	22500.00192	450.0000383
1.67	22500.00027	450.0000055
1.68	22500.00004	450.0000007
1.69	22500	450.0000001
1.7	22500	450
1.71	22500	450
1.72	22500	450
1.73	22500	450
1.74	22500	450
1.75	22500	450
1.76	22500	450
1.77	22500	450
1.78	22500	450
